enrollmentid,personid,calendarid,grade,startdate,enddate,schoolid,calendar_startdate,calendar_enddate,endyear,zip,schoolname,city_x,startyear,label,active,final_enddate,city_y
134333,85522,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131982,85555,424,05,2020-09-01,2021-06-25,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132081,85604,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132004,85610,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132218,85690,424,08,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131932,86203,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132211,86440,424,08,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131960,86725,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132065,87071,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132014,87162,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132048,87530,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131951,87970,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132000,88033,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131963,88070,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131965,88180,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131968,88200,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131969,88256,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131999,88370,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131974,88396,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132257,88443,424,08,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131979,88547,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131941,88595,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131988,88974,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131989,89085,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131991,89106,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131997,89114,424,05,2020-09-01,2020-09-09,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2020-09-09,Brooklyn
131936,89232,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131939,90720,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131958,92103,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132168,92569,424,07,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132011,93175,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131928,93176,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131970,93177,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132071,93632,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132272,93839,424,08,2020-09-02,2020-09-18,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2020-09-18,Brooklyn
132246,94656,424,08,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131934,95930,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131937,96539,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131943,96590,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132101,97464,424,07,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131961,97744,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131964,98086,424,05,2020-09-01,2021-06-25,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131971,98215,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142652,98347,424,08,2020-09-02,2021-06-25,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132027,98541,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132253,98553,424,08,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131993,98609,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131983,98610,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131994,98611,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131992,98855,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131948,98998,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132001,99179,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132191,99248,424,08,2020-09-02,2021-06-25,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
